stream_name,WS-default
daq_type,EEG
units,microvolts
reference,A1A2
sample_rate,300.0
Timestamp,Pz,F4,C4,P4,P3,C3,F3,TRG,lsl_timestamp
87,9634.107421875,9777.35546875,10242.7978515625,11001.0908203125,10924.5830078125,9045.8544921875,3966.483642578125,0.0,19625.4094735
88,6024.2138671875,3806.416748046875,3445.540283203125,4462.84912109375,6034.12451171875,3505.4931640625,-430.0543212890625,0.0,19625.409474
89,-8416.2607421875,-9127.3974609375,-10066.876953125,-8612.146484375,-8767.3349609375,-8886.322265625,-6499.75146484375,0.0,19625.4094745
90,-8356.6630859375,-6763.81298828125,-7629.8994140625,-6249.16650390625,-9436.6142578125,-7361.5048828125,-1825.890380859375,0.0,19625.409475
91,4016.242919921875,5700.3876953125,5568.314453125,6533.2626953125,3183.154541015625,4272.17529296875,5358.51953125,0.0,19625.4390927
92,9771.6640625,10370.484375,11149.1796875,11714.267578125,11927.3623046875,10386.6826171875,4770.07861328125,0.0,19625.4390947
93,4187.51220703125,3764.373779296875,4071.542236328125,4963.5302734375,7033.3466796875,4925.23388671875,109.37928009033203,0.0,19625.4390952
94,-8778.3642578125,-8042.90234375,-8467.1083984375,-7145.38525390625,-7032.6025390625,-6807.89697265625,-5104.05419921875,0.0,19625.4390958
95,-8343.1181640625,-7116.6474609375,-7814.64453125,-6305.12939453125,-9848.923828125,-7522.9921875,-2009.156494140625,0.0,19625.4390963
96,4386.77392578125,5951.9951171875,5880.56005859375,6898.9794921875,3626.062744140625,4769.31884765625,5631.84521484375,0.0,19625.4390968
97,9863.16796875,7395.21142578125,7065.7744140625,8039.72021484375,6991.80615234375,5094.89111328125,1459.988525390625,0.0,19625.4390974
98,3005.485107421875,2590.455078125,2709.552001953125,3705.6767578125,5371.107421875,3003.981201171875,-1537.374267578125,0.0,19625.4390979
99,-9073.9462890625,-8524.076171875,-9204.6376953125,-7760.82275390625,-7945.943359375,-8022.85009765625,-5796.55908203125,0.0,19625.4390984
100,-8719.0673828125,-6846.927734375,-7799.42138671875,-6198.1357421875,-9576.4814453125,-7444.81982421875,-1825.8736572265625,0.0,19625.4682388
101,4120.68994140625,5606.62939453125,5440.22119140625,6490.87109375,3335.05224609375,4563.68408203125,5778.28466796875,0.0,19625.4682408
102,8511.677734375,9078.064453125,9704.423828125,10384.171875,10385.076171875,8689.7177734375,3474.390625,0.0,19625.4682414
103,4117.68017578125,3867.8212890625,3953.339599609375,4901.52197265625,6721.7568359375,4225.947265625,-63.958621978759766,0.0,19625.4682419
104,-8618.833984375,-7715.1982421875,-8278.736328125,-6864.2919921875,-7036.44677734375,-7141.88623046875,-4999.7275390625,0.0,19625.4682425
105,-8375.0244140625,-7934.4677734375,-8995.1318359375,-7457.2822265625,-11109.740234375,-9149.1357421875,-3053.620361328125,0.0,19625.468243
106,6625.31103515625,5375.1162109375,4468.45458984375,5830.3359375,1424.3648681640625,2393.25830078125,4538.69189453125,0.0,19625.4682435
107,9647.65234375,7055.6669921875,6998.07470703125,8024.90380859375,6817.734375,4757.2734375,1055.76171875,0.0,19625.468244
108,4594.76513671875,4421.4853515625,4738.07470703125,5582.3154296875,7201.544921875,4650.40234375,320.1210632324219,0.0,19625.4682445
109,-9332.8056640625,-8501.544921875,-8935.32421875,-7526.20849609375,-7693.95849609375,-7728.34326171875,-5667.796875,0.0,19625.4982229
110,-8174.2568359375,-6447.7685546875,-7177.9990234375,-5659.64453125,-9067.4091796875,-6716.255859375,-1228.2606201171875,0.0,19625.4982246
111,3541.56591796875,5203.78759765625,5013.11962890625,6174.73291015625,2719.58935546875,3869.97705078125,5061.45263671875,0.0,19625.4982252
112,7669.78076171875,8352.6884765625,9060.81640625,9679.4853515625,9548.2841796875,7823.15966796875,2565.58984375,0.0,19625.498225800002
113,4619.44677734375,4513.43701171875,4711.38134765625,5678.310546875,7422.9365234375,5305.7421875,567.7157592773438,0.0,19625.4982263
114,-9282.23828125,-8529.958984375,-9223.3515625,-7709.13818359375,-7891.455078125,-7601.68701171875,-5804.439453125,0.0,19625.498227
115,-8432.2138671875,-7168.5048828125,-8067.78076171875,-6383.69384765625,-9945.828125,-7675.845703125,-2098.8525390625,0.0,19625.4982277
116,5815.31982421875,5387.67724609375,4542.9580078125,6042.19775390625,1866.108642578125,3014.50244140625,4884.36669921875,0.0,19625.4982283
117,9863.16796875,8777.84375,9091.939453125,10129.1630859375,9286.2529296875,7310.16259765625,2804.065185546875,0.0,19625.4982289
118,4919.5439453125,4537.248046875,4979.93212890625,6221.53369140625,7859.9794921875,5493.361328125,1004.62060546875,0.0,19625.5317677
119,-9096.822265625,-8258.052734375,-8632.943359375,-7118.4111328125,-7091.283203125,-6889.36962890625,-4887.58203125,0.0,19625.5317694
120,-8005.69677734375,-6913.4658203125,-7604.00927734375,-5859.685546875,-9293.7705078125,-7083.92041015625,-1420.9212646484375,0.0,19625.5317702
121,2463.68505859375,3931.60546875,3877.253662109375,5036.0703125,1595.759521484375,2799.61474609375,4048.675537109375,0.0,19625.5317708
122,8732.310546875,9157.5517578125,9833.1220703125,10612.328125,10454.6474609375,8821.9326171875,3628.419677734375,0.0,19625.5317714
123,3893.736083984375,3381.70556640625,3746.22021484375,4722.71240234375,6537.15478515625,4195.982421875,-175.99623107910156,0.0,19625.531772
124,-8836.45703125,-8172.46923828125,-8416.1416015625,-7016.9208984375,-7029.43017578125,-6762.83544921875,-4797.9267578125,0.0,19625.5317726
125,-8770.8388671875,-10173.591796875,-11259.380859375,-9318.7763671875,-13698.494140625,-11414.6689453125,-5047.32666015625,0.0,19625.5317732
126,3602.06689453125,3570.234130859375,3478.88671875,4669.35546875,665.2352905273438,1641.2239990234375,3430.75732421875,0.0,19625.5317738
127,9863.16796875,9902.5087890625,10989.2158203125,11602.6650390625,11480.693359375,9647.8359375,4609.568359375,0.0,19625.5637314
128,3392.571044921875,2970.634033203125,3903.01806640625,4840.19580078125,6877.18701171875,4944.70458984375,75.8817367553711,0.0,19625.563733
129,-9337.01953125,-9156.8330078125,-9178.087890625,-7611.0634765625,-7944.43505859375,-7693.46044921875,-5652.509765625,0.0,19625.5637336
130,-8448.1669921875,-7506.09130859375,-7705.47998046875,-6177.28271484375,-9803.8125,-7216.625,-1731.9837646484375,0.0,19625.5637341
131,2894.717041015625,4229.89990234375,4451.89599609375,5459.88037109375,1876.03076171875,3201.474609375,4446.40576171875,0.0,19625.5637346
132,8825.3203125,8932.8310546875,9916.5166015625,10516.0712890625,10376.173828125,8640.96484375,3587.62109375,0.0,19625.563735
133,4250.1201171875,3853.70947265625,4598.6298828125,5410.08544921875,7405.5849609375,5074.4560546875,451.6032409667969,0.0,19625.5637355
134,-7549.98291015625,-9989.109375,-10944.650390625,-9371.32421875,-10201.5107421875,-10202.8349609375,-7210.66357421875,0.0,19625.5637361
135,-8300.6767578125,-8079.64794921875,-8773.2685546875,-7125.06494140625,-11028.486328125,-8878.404296875,-2732.059326171875,0.0,19625.5637366
136,4044.236083984375,5327.765625,5383.59619140625,6362.66259765625,2972.39306640625,3960.93017578125,5411.11376953125,0.0,19625.5958384
137,9775.8779296875,9794.4970703125,10822.91015625,11554.79296875,11659.787109375,10207.4443359375,4818.39501953125,0.0,19625.5958398
138,2952.509033203125,2326.9609375,2884.30908203125,3884.39306640625,5835.58349609375,3608.428955078125,-922.8121337890625,0.0,19625.5958404
139,-9600.6962890625,-9318.103515625,-9916.4580078125,-8370.01953125,-8504.8271484375,-8283.4423828125,-6043.9931640625,0.0,19625.5958409
140,-8482.1796875,-7563.22802734375,-8385.4384765625,-6797.44677734375,-10276.8935546875,-8066.55322265625,-2237.62353515625,0.0,19625.5958415
141,2677.39501953125,3889.150146484375,3631.891845703125,4693.41796875,1161.37841796875,2235.603759765625,3638.0498046875,0.0,19625.595842
142,9407.4541015625,8977.408203125,9708.794921875,10238.537109375,10192.1904296875,8347.63671875,3581.421630859375,0.0,19625.5958426
143,2832.10888671875,-929.8876953125,-1448.2548828125,-195.8372039794922,686.9214477539062,-1828.8028564453125,-4904.732421875,0.0,19625.595843
144,-9862.8671875,-10070.982421875,-10960.673828125,-9204.5,-9850.5537109375,-9875.798828125,-7343.3232421875,0.0,19625.5958437
145,-8505.357421875,-7131.734375,-8092.552734375,-6259.146484375,-9890.43359375,-7635.90966796875,-1993.1854248046875,0.0,19625.6273024
146,3508.757080078125,4936.736328125,4817.47216796875,6151.853515625,2748.646484375,4198.0595703125,5132.74951171875,0.0,19625.6273036
147,9863.16796875,10361.3837890625,10852.81640625,11786.8154296875,11506.8203125,9837.9052734375,4710.07373046875,0.0,19625.6273043
148,3753.1689453125,3583.4931640625,3779.0068359375,4868.6015625,6728.1416015625,4324.880859375,-74.74943542480469,0.0,19625.6273048
149,-9307.5224609375,-8766.0615234375,-9594.1416015625,-7866.2158203125,-8038.96923828125,-7857.34033203125,-5853.4248046875,0.0,19625.6273054
150,-8294.3564453125,-7128.54833984375,-8440.669921875,-6663.78466796875,-10232.0224609375,-7931.66015625,-2197.407958984375,0.0,19625.6273059
151,3267.053955078125,4954.80224609375,4424.34765625,5646.26220703125,2272.093017578125,3507.948974609375,4697.53564453125,0.0,19625.6273064
152,9863.16796875,7902.43701171875,7684.37939453125,8870.8037109375,7871.74462890625,6116.21337890625,1939.7158203125,0.0,19625.627307
153,3841.6630859375,1224.1517333984375,552.7499389648438,1884.6162109375,2648.49072265625,162.9770965576172,-3353.34765625,0.0,19625.6273075
154,-9229.5634765625,-8526.234375,-9159.861328125,-7580.9375,-7837.87890625,-7902.986328125,-5630.5576171875,0.0,19625.6523485
155,-8615.82421875,-6899.8466796875,-7563.3837890625,-5943.54052734375,-9296.9501953125,-7002.3388671875,-1500.3179931640625,0.0,19625.6523496
156,4167.34521484375,6049.39453125,6077.23974609375,7194.689453125,3930.392333984375,5142.35302734375,6252.1640625,0.0,19625.6523502
157,9863.16796875,10513.341796875,11093.46875,11815.400390625,11916.7578125,10122.107421875,4921.5859375,0.0,19625.6523507
158,3104.513916015625,3262.4775390625,3499.592041015625,4544.6162109375,6619.46240234375,4213.9541015625,-203.47476196289062,0.0,19625.6523512
159,-9520.6298828125,-8974.0634765625,-9610.76171875,-8047.7294921875,-8161.080078125,-7968.79736328125,-5795.017578125,0.0,19625.6523517
